,school_board,school_board_new
1,Algonquin and Lakeshore Catholic District School Board,Algonquin and Lakeshore CDSB
2,Avon Maitland District School Board,Avon Maitland DSB
3,Bloorview School Authority,Bloorview SA
4,Bluewater District School Board,Bluewater DSB
5,Brant Haldimand Norfolk Catholic District School Board,Brant Haldimand Norfolk CDSB
6,Bruce-Grey Catholic District School Board,Bruce-Grey CDSB
7,Catholic District School Board of Eastern Ontario,CDSB of Eastern Ontario
8,Catholic Education Centre ,York CDSB
9,Centre Jules-Léger Consortium,Consortium Centre Jules-Léger
10,Conseil Scolaire Viamonde,CS Viamonde
11,Conseil des écoles catholiques du Centre-Est (CECCE),CSDC du Centre-Est de l'Ontario
12,Conseil des écoles publiques de l'Est de l'Ontario,CÉP de l'Est de l'Ontario
13,Conseil des écoles publiques de l’Est de l’Ontario,CSDC de l'Est ontarien
14,Conseil scolaire Viamonde,CS Viamonde
15,Conseil scolaire catholique MonAvenir,CS catholique MonAvenir
16,Conseil scolaire catholique Providence,Conseil scolaire catholique Providence
17,Conseil scolaire de district catholique de l'Est ontarien,CSDC de l'Est ontarien
18,Conseil scolaire de district catholique des Grandes Rivières,CSDC des Grandes Rivières
19,Conseil scolaire de district catholique du Centre-Est de l'Ontario,CSDC du Centre-Est de l'Ontario
20,Conseil scolaire de district catholique du Centre-Est de l’Ontario,CSDC du Centre-Est de l'Ontario
21,District School Board Ontario North East,DSB Ontario North East
22,District School Board of Niagara,DSB of Niagara
24,Dufferin-Peel Catholic District School Board,Peel DSB
25,Durham Catholic District School Board,Durham CDSB
26,Durham District School Board,Durham DSB
27,Grand Erie District School Board,Grand Erie DSB
28,Greater Essex County District School Board,Greater Essex County DSB
29,Halton Catholic District School Board,Halton CDSB
30,Halton District School Board,Halton DSB
34,Hamilton-Wentworth Catholic District School Board,Hamilton-Wentworth CDSB
35,Hamilton-Wentworth District School Board,Hamilton-Wentworth DSB
36,Hastings & Prince Edward District School Board,Hastings & Prince Edward DSB
37,Huron Perth Catholic District School Board,Huron Perth CDSB
38,Kawartha Pine Ridge District School Board,Kawartha Pine Ridge DSB
40,Keewatin-Patricia District School Board,Keewatin-Patricia DSB
41,Kenora Catholic District School Board,Kenora CDSB
42,KidsAbility Education Authority,KidsAbility E A
44,Lakehead District School Board,Lakehead DSB
45,Lambton Kent District School Board,Lambton Kent DSB
46,Le Conseil scolaire catholique MonAvenir,CS catholique MonAvenir
47,Limestone District School Board,Limestone DSB
48,London District Catholic School Board,London District CSB
49,Near North District School Board,Near North DSB
50,Niagara Catholic District School Board,Niagara CDSB
51,Northwest Catholic District School Board,Northwest CDSB
52,Ottawa Catholic District School Board,Ottawa CSB
54,Ottawa-Carleton District School Board,Ottawa-Carleton DSB
56,Peel District School Board ,Peel DSB
59,Peterborough Victoria Northumberland & Clarington Catholic District School Board,Peterborough Victoria Northumberland and Clarington CDSB
61,Provincial and Demonstration School,Provincial and Demonstration Schools
62,Provincial and Demonstration Schools,Provincial and Demonstration Schools
63,Rainbow District School Board,Rainbow DSB
64,Renfrew County Catholic District School Board,Renfrew County CDSB
65,Renfrew County District School Board,Renfrew County DSB
66,Simcoe County District School Board,Simcoe County DSB
67,Simcoe Muskoka Catholic District School Board,Simcoe Muskoka CDSB
68,St Clair Catholic District School Board,St Clair CDSB
70,Superior North Catholic District School Board,Superior North CDSB
71,Superior-Greenstone District School Board,Superior-Greenstone DSB
72,Thames Valley District School Board,Thames Valley DSB
73,Thunder Bay Catholic District School Board,Thunder Bay CDSB
74,Toronto Catholic District School Board,Toronto CDSB
75,Toronto District School Board,Toronto DSB
76,Trillium Lakelands District School Board,Trillium Lakelands DSB
77,Upper Canada District School Board,Upper Canada DSB
78,Upper Grand District School Board,Upper Grand DSB
79,Waterloo Catholic District School Board,Waterloo CDSB
80,Waterloo Region District School Board,Waterloo Region DSB
81,Wellington Catholic District School Board,Wellington CDSB
82,Windsor-Essex Catholic District School Board,Windsor-Essex CDSB
83,York Catholic District School Board,York CDSB
84,York Region District School Board,York Region DSB
85,nseil des écoles catholiques du Centre-Est (CECCE),CSDC du Centre-Est de l'Ontario
